location,month,case_fatality_rate,total_cases,new_cases,total_deaths,new_deaths
Netherlands,3,0.09793855145723086,3290.6451612903224,408.4193548387097,224.5,40.0
Netherlands,4,0.1404730862357981,28251.866666666665,894.8333333333334,3162.0,125.7
Netherlands,5,0.16318519556988645,43779.032258064515,230.09677419354838,5588.129032258064,37.54838709677419
Netherlands,6,0.040906722251172485,48930.26666666667,127.93333333333334,6075.3,5.233333333333333
Netherlands,7,0.008278548819089359,51944.032258064515,132.48387096774192,6155.064516129032,1.096774193548387
Netherlands,8,0.004613238922862354,64080.87096774193,601.3548387096774,6201.967741935484,2.774193548387097
Netherlands,9,0.003885813935855637,93439.06666666667,1758.5333333333333,6323.266666666666,6.833333333333333
Netherlands,10,0.004325453697788061,226608.51612903227,7472.645161290323,6833.741935483871,32.32258064516129
Netherlands,11,0.011440702277812841,454993.5333333333,5809.666666666667,8557.166666666666,66.46666666666667
Netherlands,12,0.0074949720023729256,661532.3548387097,8917.806451612903,10393.387096774193,66.83870967741936
New Zealand,2,,1.0,0.5,,
New Zealand,3,0.015995872033023734,117.3225806451613,20.838709677419356,1.0,0.3333333333333333
New Zealand,4,0.021634615384615384,1295.3,27.733333333333334,9.066666666666666,0.6
New Zealand,5,0.12000000000000001,1497.7096774193549,0.8064516129032258,21.032258064516128,0.0967741935483871
New Zealand,6,0.0,1510.5666666666666,0.8,22.0,0.0
New Zealand,7,0.0,1547.6129032258063,1.096774193548387,22.0,0.0
New Zealand,8,0.0,1635.225806451613,6.129032258064516,22.0,0.0
New Zealand,9,0.03125,1803.7666666666667,3.2,24.333333333333332,0.1
New Zealand,10,0.0,1895.741935483871,3.5806451612903225,25.0,0.0
New Zealand,11,0.0,2007.9666666666667,3.3333333333333335,25.0,0.0
New Zealand,12,0.0,2108.7096774193546,3.3225806451612905,25.0,0.0
Nicaragua,3,0.52,2.5384615384615383,0.38461538461538464,1.0,0.2
Nicaragua,4,0.22222222222222224,8.966666666666667,0.3,1.7,0.06666666666666667
Nicaragua,5,0.042953020134228186,219.41935483870967,24.032258064516128,14.064516129032258,1.032258064516129
Nicaragua,6,0.027272727272727275,1643.4333333333334,58.666666666666664,59.7,1.6
Nicaragua,7,0.028620988725065046,3091.1612903225805,37.193548387096776,98.3225806451613,1.064516129032258
Nicaragua,8,0.025547445255474453,4153.870967741936,26.516129032258064,128.8709677419355,0.6774193548387096
Nicaragua,9,0.02071005917159763,4899.333333333333,22.533333333333335,145.63333333333333,0.4666666666666667
Nicaragua,10,0.01453488372093023,5347.645161290323,11.096774193548388,153.7741935483871,0.16129032258064516
Nicaragua,11,0.014814814814814815,5673.366666666667,9.0,158.26666666666668,0.13333333333333333
Nicaragua,12,0.019083969465648856,5922.967741935484,8.451612903225806,162.67741935483872,0.16129032258064516
Niger,3,0.19047619047619047,9.916666666666666,2.25,1.5714285714285714,0.42857142857142855
Niger,4,0.04190751445086705,502.76666666666665,23.066666666666666,17.033333333333335,0.9666666666666667
Niger,5,0.13389121338912133,870.483870967742,7.709677419354839,51.483870967741936,1.032258064516129
Niger,6,0.025641025641025644,1008.6666666666666,3.9,66.06666666666666,0.1
Niger,7,0.03389830508474576,1106.7096774193549,1.903225806451613,68.51612903225806,0.06451612903225806
Niger,8,0.0,1163.516129032258,1.3548387096774193,69.0,0.0
Niger,9,0.0,1184.3333333333333,0.7,69.0,0.0
Niger,10,0.0,1208.0967741935483,0.7419354838709677,69.0,0.0
Niger,11,0.009146341463414634,1327.0666666666666,10.933333333333334,69.63333333333334,0.1
Niger,12,0.018028169014084508,2442.7741935483873,57.25806451612903,85.3225806451613,1.032258064516129
Nigeria,2,,1.0,0.5,,
Nigeria,3,0.05140961857379768,27.193548387096776,4.32258064516129,1.2222222222222223,0.2222222222222222
Nigeria,4,0.03116304952698943,650.2,59.9,19.133333333333333,1.8666666666666667
Nigeria,5,0.027825030376670713,5834.387096774193,265.48387096774195,176.61290322580646,7.387096774193548
Nigeria,6,0.01950811228431625,17373.166666666668,517.7333333333333,444.1333333333333,10.1
Nigeria,7,0.016554963624906913,34886.45161290323,563.1290322580645,759.0322580645161,9.32258064516129
Nigeria,8,0.012342267661416596,49155.096774193546,350.2258064516129,968.2903225806451,4.32258064516129
Nigeria,9,0.02045454545454545,56572.933333333334,161.33333333333334,1082.2,3.3
Nigeria,10,0.007990012484394507,60962.096774193546,129.19354838709677,1122.5806451612902,1.032258064516129
Nigeria,11,0.006164965986394558,65254.76666666667,156.8,1162.1333333333334,0.9666666666666667
Nigeria,12,0.005785536159600997,76121.12903225806,646.7741935483871,1213.516129032258,3.7419354838709675
North America,1,0.0,5.3,1.1,,0.0
North America,2,0.027027027027027025,22.103448275862068,1.2758620689655173,1.0,0.034482758620689655
North America,3,0.02753907011185159,38740.77419354839,6621.677419354839,882.8387096774194,182.3548387096774
North America,4,0.06955477668570673,714430.4333333333,32259.466666666667,38526.96666666667,2243.8
North America,5,0.06299226351555913,1627957.7741935484,27702.83870967742,103201.6129032258,1745.0645161290322
North America,6,0.037658008576939635,2505593.2333333334,35599.333333333336,148554.43333333332,1340.6
North America,7,0.02158997587023275,4230380.516129033,73767.80645161291,190991.25806451612,1592.6451612903227
North America,8,0.028432174433186887,6358959.516129033,57541.58064516129,243978.32258064515,1636.032258064516
North America,9,0.02624398095222868,7935786.566666666,50035.6,288567.13333333336,1313.1333333333334
North America,10,0.018047400288623075,9741960.483870968,74368.67741935483,328152.9032258064,1342.1612903225807
North America,11,0.011563528550089183,13344722.1,164886.23333333334,375587.4666666667,1906.6666666666667
North America,12,0.015066782495384949,19637098.83870968,229333.8064516129,459686.93548387097,3455.3225806451615
North Macedonia,2,,1.0,0.25,,
North Macedonia,3,0.0850609756097561,79.64516129032258,10.580645161290322,4.0,0.9
North Macedonia,4,0.05985915492957746,969.5333333333333,37.86666666666667,42.766666666666666,2.2666666666666666
North Macedonia,5,0.0735873850197109,1789.1935483870968,24.548387096774192,102.06451612903226,1.8064516129032258
North Macedonia,6,0.04113924050632912,4261.733333333334,136.93333333333334,205.86666666666667,5.633333333333334
North Macedonia,7,0.0416289592760181,8638.58064516129,142.58064516129033,402.741935483871,5.935483870967742
North Macedonia,8,0.03261778645107332,12695.935483870968,115.70967741935483,545.3870967741935,3.774193548387097
North Macedonia,9,0.0374037403740374,16149.566666666668,121.2,667.9333333333333,4.533333333333333
North Macedonia,10,0.018756895917616773,23265.41935483871,438.5483870967742,840.7741935483871,8.225806451612904
North Macedonia,11,0.025374513297696823,47407.6,1010.2,1346.8333333333333,25.633333333333333
North Macedonia,12,0.034497226236539086,74739.93548387097,691.9677419354839,2180.3548387096776,23.870967741935484
Norway,2,,5.75,3.75,,
Norway,3,0.014519383196425997,1659.6129032258063,149.2258064516129,13.0,2.1666666666666665
Norway,4,0.05521472392638037,6676.933333333333,103.23333333333333,141.93333333333334,5.7
Norway,5,0.03703703703703704,8192.548387096775,22.64516129032258,227.3548387096774,0.8387096774193549
Norway,6,0.03189066059225513,8666.433333333332,14.633333333333333,243.0,0.4666666666666667
Norway,7,0.013850415512465374,9027.41935483871,11.64516129032258,253.3548387096774,0.16129032258064516
Norway,8,0.005836575875486381,9992.548387096775,49.74193548387097,260.0967741935484,0.2903225806451613
Norway,9,0.003081664098613251,12456.966666666667,108.16666666666667,266.7,0.3333333333333333
Norway,10,0.001269035532994924,16537.74193548387,203.3548387096774,277.4516129032258,0.25806451612903225
Norway,11,0.003160756052847842,28960.166666666668,527.3,299.43333333333334,1.6666666666666667
Norway,12,0.007751360214653052,42543.032258064515,432.80645161290323,392.8709677419355,3.3548387096774195
Oceania,1,0.0,6.333333333333333,1.2857142857142858,,0.0
Oceania,2,0.0,14.931034482758621,0.5862068965517241,,0.0
Oceania,3,0.00366370998843039,1270.1612903225807,167.29032258064515,6.225806451612903,0.6129032258064516
Oceania,4,0.03040209218698921,7588.933333333333,101.96666666666667,69.63333333333334,3.1
Oceania,5,0.02819956616052061,8543.870967741936,14.870967741935484,120.09677419354838,0.41935483870967744
Oceania,6,0.001342281879194631,8957.633333333333,24.833333333333332,124.5,0.03333333333333333
Oceania,7,0.010566356720202872,13266.032258064517,305.2903225806452,151.09677419354838,3.225806451612903
Oceania,8,0.050455193594384114,24897.41935483871,294.0967741935484,446.06451612903226,14.838709677419354
Oceania,9,0.162534435261708,29042.0,48.4,848.1333333333333,7.866666666666666
Oceania,10,0.028064992614475627,29866.0,21.838709677419356,935.5806451612904,0.6129032258064516
Oceania,11,0.001976284584980237,30423.866666666665,16.866666666666667,941.0666666666667,0.03333333333333333
Oceania,12,0.004016064257028112,31039.387096774193,24.096774193548388,943.1935483870968,0.0967741935483871
Oman,2,,3.6666666666666665,1.0,,
Oman,3,0.16666666666666666,54.83870967741935,6.0,1.0,1.0
Oman,4,0.00463821892393321,1073.4,71.86666666666666,5.466666666666667,0.3333333333333333
Oman,5,0.004180877984376719,5457.870967741936,293.19354838709677,24.967741935483872,1.2258064516129032
Oman,6,0.004435441623301785,25086.166666666668,954.4333333333333,110.73333333333333,4.233333333333333
Oman,7,0.006267747959784083,61898.74193548387,1260.9354838709678,296.741935483871,7.903225806451613
Oman,8,0.040225506628066426,82730.48387096774,211.70967741935485,564.0,8.516129032258064
Oman,9,0.01943559045323797,91366.43333333333,428.76666666666665,805.2333333333333,8.333333333333334
Oman,10,0.017225061518076852,107938.64516129032,511.258064516129,1080.9354838709678,8.806451612903226
Oman,11,0.023205612520237454,120045.0,308.8333333333333,1339.3333333333333,7.166666666666667
Oman,12,0.014705882352941176,126655.45161290323,166.70967741935485,1471.8064516129032,2.4516129032258065
Pakistan,2,,2.8,0.8,,
Pakistan,3,0.0282808487633464,570.6774193548387,68.19354838709677,11.0,1.9285714285714286
Pakistan,4,0.024381095273818452,8213.5,533.2,163.1,13.0
Pakistan,5,0.02071909616163103,42462.45161290323,1753.0967741935483,908.9354838709677,36.32258064516129
Pakistan,6,0.02022551592085668,148344.63333333333,4700.333333333333,2961.766666666667,95.06666666666666
Pakistan,7,0.023999383049278938,255175.12903225806,2091.451612903226,5364.0,50.193548387096776
Pakistan,8,0.019550843593251255,288205.5483870968,565.9354838709677,6154.870967741936,11.064516129032258
Pakistan,9,0.01120481217196438,303957.8,565.2333333333333,6398.433333333333,6.333333333333333
Pakistan,10,0.016017766017766017,322773.03225806454,682.7096774193549,6643.741935483871,10.935483870967742
Pakistan,11,0.019064229011306232,363039.1,2217.0666666666666,7345.2,42.266666666666666
Pakistan,12,0.02552144535840188,446440.7419354839,2635.3548387096776,9124.41935483871,67.25806451612904
Palestine,3,0.037815126050420166,50.18518518518518,4.407407407407407,1.0,0.16666666666666666
Palestine,4,0.0044444444444444444,286.56666666666666,7.5,1.7,0.03333333333333333
Palestine,5,0.009615384615384614,394.83870967741933,3.3548387096774195,2.2903225806451615,0.03225806451612903
Palestine,6,0.002525252525252525,864.6,66.0,3.3,0.16666666666666666
Palestine,7,0.007864810288022108,7449.612903225807,303.51612903225805,47.25806451612903,2.3870967741935485
Palestine,8,0.006426735218508998,16760.677419354837,351.35483870967744,113.6774193548387,2.2580645161290325
Palestine,9,0.00926033779848573,32178.933333333334,572.3333333333334,232.4,5.3
Palestine,10,0.012627560384700096,46616.93548387097,439.38709677419354,401.61290322580646,5.548387096774194
Palestine,11,0.007750490241852647,66126.36666666667,1070.9,584.2333333333333,8.3
Palestine,12,0.01275856141490154,114847.32258064517,1688.9354838709678,1056.6451612903227,21.548387096774192
Panama,3,0.026611830168138385,332.59090909090907,53.68181818181818,6.476190476190476,1.4285714285714286
Panama,4,0.029527191179218835,3756.233333333333,178.36666666666667,102.9,5.266666666666667
Panama,5,0.02135334006636849,9572.90322580645,223.58064516129033,266.64516129032256,4.774193548387097
Panama,6,0.01468611539801862,22376.733333333334,669.5666666666667,466.76666666666665,9.833333333333334
Panama,7,0.02491641960512206,49838.67741935484,1022.7741935483871,1025.967741935484,25.483870967741936
Panama,8,0.02095506023227296,80497.03225806452,894.3870967741935,1757.0645161290322,18.741935483870968
Panama,9,0.01886503849487585,103176.8,653.7666666666667,2197.8333333333335,12.333333333333334
Panama,10,0.015616816645241156,123338.3870967742,677.516129032258,2543.6774193548385,10.580645161290322
Panama,11,0.011767262791852957,148073.8,1073.6,2883.5,12.633333333333333
Panama,12,0.011644275412427145,202638.2258064516,2612.3870967741937,3484.1290322580644,30.419354838709676
